Name_Num,AFFGEOID,GEOID,NAME,Municipality,Pittsburgh Neighborhood,Total Pop 2014-2018,White Pop Rate 2014-2018,Black Pop Rate 2014-2018,Asian Pop Rate 2014-2018,His or Lat Pop Rate 2014-2018,Family Poverty Rate 2014-2018,Rate of Single Mothers 2014-2018,Rate of those 25 and up without at least Bachelor's 2014-2018,Male unemployment/unattachment rate,Average 911 Dispatches for Shots Fired per 500,Median Home Value 2014-2018,Median Gross Rent 2014-2018,CNI Z-Score,Level of Need
2620,1400000US42003262000,42003262000,2620,City of Pittsburgh,Spring Hill-City View,2539,63.37140607,24.2221347,2.638834187,0.827097282,37.4,34.3470483,84,13.23943662,5.238282788,72500,503,0.922920169,High Need
2701,1400000US42003270100,42003270100,2701,City of Pittsburgh,Brighton Heights ,2681,75.94181276,18.87355464,0.932487878,1.75307721,6.8,11.76470588,57.3,12.75071633,2.387168967,146400,1081,-0.293628187,Low Need
2703,1400000US42003270300,42003270300,2703,City of Pittsburgh,Brighton Heights ,2038,53.68007851,38.12561335,0,1.766437684,3.6,25.56561086,76.5,19.09090909,5.642787046,94100,649,0.287790074,Moderate Need
2704,1400000US42003270400,42003270400,2704,City of Pittsburgh,Marshall-Shadeland,1001,51.54845155,42.45754246,0,2.697302697,11.9,14.44444444,78.2,28.89518414,6.893106893,76200,738,0.493886968,Moderate Need
2708,1400000US42003270800,42003270800,2708,City of Pittsburgh,Brighton Heights ,2471,76.00161878,16.47106435,4.370700121,0.72845002,15.6,6.933744222,65.8,22.60183968,2.225819506,133900,908,0.01593883,Moderate Need
2715,1400000US42003271500,42003271500,2715,City of Pittsburgh,Marshall-Shadeland,3066,43.80300065,43.99869537,2.837573386,2.544031311,20.7,42.23227753,79.5,35.14774495,7.860404436,55300,833,1.188067698,High Need
2814,1400000US42003281400,42003281400,2814,City of Pittsburgh,Crafton Heights ,2636,48.40667678,38.77086495,3.717754173,2.238239757,41.2,41.07692308,75.3,21.75226586,5.728376328,93000,470,1.152285252,High Need
2815,1400000US42003281500,42003281500,2815,City of Pittsburgh,Crafton Heights ,1494,80.78982597,11.84738956,2.744310576,1.539491299,1.2,11.60714286,74.8,13.88286334,2.208835341,77700,749,-0.202307332,Low Need
2901,1400000US42003290100,42003290100,2901,City of Pittsburgh,Carrick,2129,72.8511038,18.78816346,4.133395961,0.375763269,9,27.38970588,83,30.79416532,4.180366369,69900,852,0.589262493,High Need
2902,1400000US42003290200,42003290200,2902,City of Pittsburgh,Carrick,4392,74.74954463,11.74863388,12.90983607,0,9.8,20.50251256,77.5,24.94244052,2.276867031,69700,765,0.271230335,Moderate Need
2904,1400000US42003290400,42003290400,2904,City of Pittsburgh,Carrick,4301,73.72704022,17.5773076,0.790513834,4.371076494,23.9,19.75425331,83,32.81365999,2.208788654,76700,743,0.667224802,High Need
3001,1400000US42003300100,42003300100,3001,City of Pittsburgh,Knoxville,3709,37.88083041,47.31733621,5.203558911,2.156915611,18.6,28.80371661,88.8,53.41880342,11.70126719,46400,826,1.519175314,Extreme Need
305,1400000US42003030500,42003030500,305,City of Pittsburgh,Crawford-Roberts,2249,9.604268564,76.25611383,1.378390396,6.313917297,32.6,48.25462012,80,61.63793103,5.291240551,136100,773,1.783655433,Extreme Need
3102,1400000US42003310200,42003310200,3102,City of Pittsburgh,Lincoln Place,3381,93.25643301,0,0,6.743566992,6.1,6.873614191,81.3,39.63133641,0.532386868,91400,830,0.214081806,Moderate Need
3103,1400000US42003310300,42003310300,3103,City of Pittsburgh,New Homestead,960,82.29166667,11.25,0,1.25,0,2.641509434,65.9,11.53846154,1.145833333,121300,925,-0.522529929,Low Need
3204,1400000US42003320400,42003320400,3204,City of Pittsburgh,Overbrook,2087,90.46478198,2.922855774,0,3.258265453,11.9,14.86988848,83.4,28.11501597,1.389554384,81600,908,0.295498625,Moderate Need
3206,1400000US42003320600,42003320600,3206,City of Pittsburgh,Brookline,2140,90.56074766,5.514018692,0.560747664,1.682242991,5.1,13.16270567,66.3,14.36699858,1.495327103,104200,1019,-0.225294598,Low Need
3207,1400000US42003320700,42003320700,3207,City of Pittsburgh,Overbrook,1629,92.32658072,3.130755064,0.368324125,1.411909147,10.3,3.201970443,79.1,23.80038388,1.289134438,93500,1174,-0.012986933,Moderate Need
4011,1400000US42003401100,42003401100,4011,Harrison Twp,N/A,4708,95.09345794,1.29566695,2.230246389,0,4.3,11.12676056,78.8,22.41515391,0.552251487,117400,711,-0.055309787,Moderate Need
4012,1400000US42003401200,42003401200,4012,Harrison Twp,N/A,2901,81.4546708,9.479489831,0.620475698,1.30989314,25.5,31.40939597,81.5,26.5,1.447776629,75100,590,0.708877539,High Need
4013,1400000US42003401300,42003401300,4013,Harrison Twp,N/A,2785,90.26929982,1.077199282,2.333931777,3.231597846,2.5,5.034324943,74.7,15.55834379,0.538599641,96500,791,-0.322748528,Low Need
402,1400000US42003040200,42003040200,402,City of Pittsburgh,Terrace Village/West Oakland ,1703,43.21785085,36.81738109,11.39166177,3.464474457,29.4,45.98930481,59.2,34.22222222,6.459189665,85400,808,1.103753327,High Need
4020,1400000US42003402000,42003402000,4020,Brackenridge ,N/A,3203,92.25725882,4.96409616,0.842959725,0.718076803,12.9,24.34017595,79.6,19.54887218,0.593193881,73700,724,0.235703652,Moderate Need
4035,1400000US42003403500,42003403500,4035,Tarentum ,N/A,4441,81.15289349,10.56068453,0,1.643773925,16.4,14.60134486,85.2,34.39787092,0.990767845,61400,619,0.465830247,Moderate Need
404,1400000US42003040400,42003040400,404,City of Pittsburgh,North Oakland,1978,59.75733064,10.92012133,25.78361982,1.820020222,9.6,0,20.7,30.92105263,0.101112235,134200,1079,-0.588599879,Very low Need
4040,1400000US42003404000,42003404000,4040,East Deer,N/A,1409,96.30943932,1.206529454,0,0.780695529,12.2,10.97922849,76.2,22.61904762,0.709723208,73300,791,0.054979296,Moderate Need
405,1400000US42003040500,42003040500,405,City of Pittsburgh,Central Oakland ,3377,88.27361564,1.71750074,5.952028428,2.428190702,32.4,0,63.6,28.34645669,0.384957062,125000,1102,0.178465548,Moderate Need
4050,1400000US42003405000,42003405000,4050,Frazer TWP,N/A,1070,98.69158879,0,0.934579439,0.373831776,4.9,1.623376623,81.7,6.116207951,1.682242991,130100,878,-0.363974381,Low Need
406,1400000US42003040600,42003040600,406,City of Pittsburgh,Central Oakland ,2121,80.71664309,6.270627063,5.893446488,3.300330033,12.9,7.142857143,62.3,22.51082251,0.565770863,115500,1118,-0.13456541,Low Need
4060,1400000US42003406000,42003406000,4060,Fawn TWP,N/A,2281,98.72862779,0,0,1.271372205,2,1.15942029,80.8,14.30615165,0.920648838,125700,671,-0.32855477,Low Need
4070.01,1400000US42003407001,42003407001,4070.01,West Deer Twp,N/A,5456,97.36070381,0.018328446,0.696480938,0.329912023,1.5,2.356902357,71.3,12.58566978,0.751466276,142500,775,-0.449212103,Low Need
4070.02,1400000US42003407002,42003407002,4070.02,West Deer Twp,N/A,6473,97.03383284,0.973273598,0,0.911478449,4.3,3.606027987,69.9,18.49135673,0.448014831,164100,760,-0.318487056,Low Need
4080.01,1400000US42003408001,42003408001,4080.01,Richland Twp,N/A,5467,95.4271081,0.07316627,2.835192976,1.66453265,4,2.845528455,48.9,14.10437236,0.98774465,249100,2398,-0.589581605,Very low Need
4080.02,1400000US42003408002,42003408002,4080.02,Richland Twp,N/A,6010,94.99168053,1.747088186,0,2.928452579,2.2,3.688760807,40.8,17.94721408,0.399334443,260200,-,-0.651542057,Very low Need
